"Läns-kod","Kommun-kod","Enhet, nivå 1","","","","","place holder1","place holder 2","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F16","F17","F18","F19","F20","F21","F22","F23","F25","F27","F24"
"1","163","Lenalundsgården","Lenalundsgården Demens","","","20-40","0","0","14","29","0","x","57","71","x","86","x","100","x","71","100","86","100","100","57","71","57","100","x","100","57","x","71"
"1","163","Lenalundsgården","Lenalundsgården Omvårdnad","","","60-80","0","0","44","44","11","63","57","50","x","43","38","67","38","43","100","57","78","67","x","x","22","75","x","57","22","63","75"
"1","163","Minerva","","","","60-80","0","0","50","38","19","77","79","80","93","100","86","80","50","46","100","79","100","100","93","87","38","69","43","94","50","100","100"
"1","163","Minerva","Minerva Demens","","","60-80","0","0","40","30","20","75","88","100","100","100","88","100","x","29","100","75","100","100","100","100","43","88","44","100","60","100","100"
"1","163","Norrgården","","","","40-60","0","0","18","26","4","95","74","74","96","74","58","61","55","30","91","57","88","92","74","59","50","67","50","70","50","85","83"
"1","163","Norrgården","Norrgården Demens","","","40-60","0","0","9","18","8","92","73","67","100","83","50","73","55","25","100","67","100","100","75","60","30","70","60","73","42","92","92"
"1","163","Norrgården","Norrgården Omvårdnad","","","60-80","0","0","27","33","0","100","75","82","92","64","67","50","55","33","83","50","75","83","73","58","67","64","42","67","58","75","75"
"1","163","Ribbings backe","","","","60-80","0","0","31","34","22","92","73","68","69","80","63","77","70","58","100","87","90","91","83","67","35","88","69","86","58","100","87"
"1","163","Ribbings backe","Ribbings backe Demens","","","60-80","0","0","35","40","25","100","89","74","70","74","72","78","69","57","100","100","89","90","89","69","47","87","73","94","63","100","89"
"1","163","Ribbings backe","Ribbings backe Omvårdnad","","","60-80","0","0","25","25","17","80","50","58","67","91","50","75","71","58","100","63","90","92","73","64","18","91","64","75","50","100","82"
"1","163","Rådans äldreboende","","","","40-60","0","0","19","31","18","100","87","71","59","76","76","88","31","27","88","69","80","82","62","56","27","82","54","88","29","87","82"
"1","163","Rådans äldreboende","Rådans äldreb. Omvårdnad","","","40-60","0","0","38","25","13","100","75","75","50","75","63","88","43","43","88","75","75","75","x","71","38","75","29","88","38","x","75"
"1","163","Rådans äldreboende","Rådans äldreboende Demens","","","20-40","0","0","0","38","22","x","100","67","67","78","89","89","x","13","89","x","86","89","71","44","14","89","x","88","22","100","89"
"1","163","Soltorp","","","","60-80","0","0","18","25","18","80","59","35","25","82","63","65","44","57","88","62","81","75","23","38","23","87","87","82","31","88","82"
